Id,PostId,VoteTypeId,CreationDate
709498,257359,2,2008-11-02T00:00:00.000
709525,257359,1,2008-11-02T00:00:00.000
709611,257353,2,2008-11-02T00:00:00.000
709612,257360,2,2008-11-02T00:00:00.000
709614,257385,2,2008-11-02T00:00:00.000
709811,257408,2,2008-11-02T00:00:00.000
709869,257408,2,2008-11-02T00:00:00.000
709964,257408,2,2008-11-02T00:00:00.000
710114,257359,2,2008-11-02T00:00:00.000
710833,257353,2,2008-11-03T00:00:00.000
711272,257359,2,2008-11-03T00:00:00.000
711273,257454,2,2008-11-03T00:00:00.000
711892,257538,2,2008-11-03T00:00:00.000
712535,257359,2,2008-11-03T00:00:00.000
712613,257119,2,2008-11-03T00:00:00.000
714298,257359,2,2008-11-03T00:00:00.000
715897,257359,2,2008-11-03T00:00:00.000
720269,244624,2,2008-11-04T00:00:00.000
720270,244300,2,2008-11-04T00:00:00.000
721339,257385,2,2008-11-04T00:00:00.000
739810,268656,2,2008-11-06T00:00:00.000
739822,268873,2,2008-11-06T00:00:00.000
740447,268873,2,2008-11-06T00:00:00.000
740449,268873,1,2008-11-06T00:00:00.000
743280,207084,2,2008-11-06T00:00:00.000
746452,257608,3,2008-11-07T00:00:00.000
746454,257385,3,2008-11-07T00:00:00.000
746457,257454,3,2008-11-07T00:00:00.000
759078,111598,2,2008-11-09T00:00:00.000
771676,253167,2,2008-11-11T00:00:00.000
778574,111576,2,2008-11-12T00:00:00.000
780622,257359,2,2008-11-12T00:00:00.000
788632,257538,2,2008-11-13T00:00:00.000
788641,257547,2,2008-11-13T00:00:00.000
790222,112242,2,2008-11-13T00:00:00.000
790231,111584,2,2008-11-13T00:00:00.000
794208,268873,2,2008-11-14T00:00:00.000
795613,268777,2,2008-11-14T00:00:00.000
797484,111584,2,2008-11-14T00:00:00.000
797492,111914,2,2008-11-14T00:00:00.000
797499,111730,2,2008-11-14T00:00:00.000
797503,111576,2,2008-11-14T00:00:00.000
808478,207038,2,2008-11-17T00:00:00.000
808479,207084,2,2008-11-17T00:00:00.000
808481,207088,2,2008-11-17T00:00:00.000
808482,207457,2,2008-11-17T00:00:00.000
827999,302804,2,2008-11-19T00:00:00.000
829420,302804,2,2008-11-19T00:00:00.000
829605,303557,2,2008-11-19T00:00:00.000
